,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD),time_frame,symbol
20432,2021-05-30,354.01,424.36,333.33,406.25,354.01,424.36,333.33,406.25,41078.64376,41078.64376,daily,COMP
20433,2021-05-29,377.06,405.27,333.54,354.02,377.06,405.27,333.54,354.02,41800.60739,41800.60739,daily,COMP
20434,2021-05-28,423.43,426.72,356.0,377.59,423.43,426.72,356.0,377.59,49037.00943,49037.00943,daily,COMP
20435,2021-05-27,463.55,464.0,403.07,423.14,463.55,464.0,403.07,423.14,46570.47553,46570.47553,daily,COMP
20436,2021-05-26,426.66,464.76,413.3,464.0,426.66,464.76,413.3,464.0,58016.08353,58016.08353,daily,COMP
20437,2021-05-25,427.02,440.89,367.81,427.06,427.02,440.89,367.81,427.06,88926.56932,88926.56932,daily,COMP
20438,2021-05-24,340.34,435.44,328.44,427.02,340.34,435.44,328.44,427.02,78263.46018,78263.46018,daily,COMP
20439,2021-05-23,384.56,401.41,267.55,339.79,384.56,401.41,267.55,339.79,127080.70795,127080.70795,daily,COMP
20440,2021-05-22,448.77,455.01,370.34,384.44,448.77,455.01,370.34,384.44,88760.37741,88760.37741,daily,COMP
20441,2021-05-21,547.92,583.69,377.77,448.24,547.92,583.69,377.77,448.24,109020.65626,109020.65626,daily,COMP
20442,2021-05-20,471.2,571.41,413.17,547.65,471.2,571.41,413.17,547.65,96264.63575,96264.63575,daily,COMP
20443,2021-05-19,665.75,673.39,355.0,472.47,665.75,673.39,355.0,472.47,171114.88896,171114.88896,daily,COMP
20444,2021-05-18,696.11,726.37,648.03,665.43,696.11,726.37,648.03,665.43,66224.26464,66224.26464,daily,COMP
20445,2021-05-17,684.6,709.91,610.88,695.53,684.6,709.91,610.88,695.53,64046.28239,64046.28239,daily,COMP
20446,2021-05-16,690.12,736.75,630.17,684.05,690.12,736.75,630.17,684.05,55251.42378,55251.42378,daily,COMP
20447,2021-05-15,775.0,783.74,685.72,689.9,775.0,783.74,685.72,689.9,45162.43634,45162.43634,daily,COMP
20448,2021-05-14,767.04,821.74,746.13,774.77,767.04,821.74,746.13,774.77,60591.83461,60591.83461,daily,COMP
20449,2021-05-13,734.96,810.48,693.0,767.48,734.96,810.48,693.0,767.48,110705.66109,110705.66109,daily,COMP
20450,2021-05-12,854.26,911.0,700.0,736.83,854.26,911.0,700.0,736.83,112260.89542,112260.89542,daily,COMP
20451,2021-05-11,781.31,871.87,770.85,854.27,781.31,871.87,770.85,854.27,110841.61717,110841.61717,daily,COMP
20452,2021-05-10,771.3,812.81,706.83,780.59,771.3,812.81,706.83,780.59,65566.06168,65566.06168,daily,COMP
20453,2021-05-09,782.97,785.34,733.14,770.7,782.97,785.34,733.14,770.7,36789.22805,36789.22805,daily,COMP
20454,2021-05-08,714.63,800.12,701.68,782.93,714.63,800.12,701.68,782.93,60457.09523,60457.09523,daily,COMP
20455,2021-05-07,740.41,745.19,692.98,714.5,740.41,745.19,692.98,714.5,42563.35089,42563.35089,daily,COMP
20456,2021-05-06,787.22,809.44,722.86,740.76,787.22,809.44,722.86,740.76,50172.64148,50172.64148,daily,COMP
20457,2021-05-05,740.93,789.93,724.85,787.22,740.93,789.93,724.85,787.22,45903.54819,45903.54819,daily,COMP
20458,2021-05-04,831.59,850.0,726.1,740.94,831.59,850.0,726.1,740.94,80951.22974,80951.22974,daily,COMP
20459,2021-05-03,805.03,840.61,783.8,832.19,805.03,840.61,783.8,832.19,92538.72878,92538.72878,daily,COMP
20460,2021-05-02,803.28,879.0,785.27,804.74,803.28,879.0,785.27,804.74,99891.80015,99891.80015,daily,COMP
20461,2021-05-01,741.66,831.6,723.19,803.13,741.66,831.6,723.19,803.13,91464.70072,91464.70072,daily,COMP
20462,2021-04-30,643.19,743.44,636.72,741.65,643.19,743.44,636.72,741.65,78058.21366,78058.21366,daily,COMP
20463,2021-04-29,647.29,684.52,628.99,643.16,647.29,684.52,628.99,643.16,47283.98292,47283.98292,daily,COMP
20464,2021-04-28,658.6,681.0,607.0,647.79,658.6,681.0,607.0,647.79,65394.90272,65394.90272,daily,COMP
20465,2021-04-27,642.13,689.24,635.34,658.6,642.13,689.24,635.34,658.6,75362.88837,75362.88837,daily,COMP
20466,2021-04-26,553.95,671.52,550.0,642.41,553.95,671.52,550.0,642.41,97058.37927,97058.37927,daily,COMP
20467,2021-04-25,568.9,593.72,522.0,553.46,568.9,593.72,522.0,553.46,73518.81204,73518.81204,daily,COMP
20468,2021-04-24,622.65,665.69,543.02,568.92,622.65,665.69,543.02,568.92,184325.31756,184325.31756,daily,COMP
20469,2021-04-23,528.48,647.33,437.97,622.65,528.48,647.33,437.97,622.65,254989.5264,254989.5264,daily,COMP
20470,2021-04-22,493.02,597.0,488.25,528.49,493.02,597.0,488.25,528.49,176385.58306,176385.58306,daily,COMP
20471,2021-04-21,485.04,508.12,444.94,492.49,485.04,508.12,444.94,492.49,48358.0682,48358.0682,daily,COMP
20472,2021-04-20,478.07,498.88,423.39,484.7,478.07,498.88,423.39,484.7,86137.584,86137.584,daily,COMP
20473,2021-04-19,487.71,516.28,432.45,477.99,487.71,516.28,432.45,477.99,76059.13153,76059.13153,daily,COMP
20474,2021-04-18,535.7,539.04,411.37,487.73,535.7,539.04,411.37,487.73,97235.39475,97235.39475,daily,COMP
20475,2021-04-17,564.06,594.43,532.84,535.49,564.06,594.43,532.84,535.49,49748.50416,49748.50416,daily,COMP
20476,2021-04-16,562.06,619.0,540.59,563.88,562.06,619.0,540.59,563.88,137267.9013,137267.9013,daily,COMP
20477,2021-04-15,486.06,593.89,484.63,562.06,486.06,593.89,484.63,562.06,117015.98554,117015.98554,daily,COMP
20478,2021-04-14,484.39,496.86,450.0,485.94,484.39,496.86,450.0,485.94,52935.87055,52935.87055,daily,COMP
20479,2021-04-13,463.72,486.49,444.0,484.39,463.72,486.49,444.0,484.39,51622.95899,51622.95899,daily,COMP
20480,2021-04-12,458.89,470.94,435.0,463.72,458.89,470.94,435.0,463.72,44266.2397,44266.2397,daily,COMP
20481,2021-04-11,451.52,461.74,438.53,458.84,451.52,461.74,438.53,458.84,35846.4398,35846.4398,daily,COMP
20482,2021-04-10,454.16,461.69,435.0,451.08,454.16,461.69,435.0,451.08,44053.11658,44053.11658,daily,COMP
20483,2021-04-09,456.11,467.89,447.07,454.02,456.11,467.89,447.07,454.02,37351.85152,37351.85152,daily,COMP
20484,2021-04-08,441.74,477.88,437.67,455.79,441.74,477.88,437.67,455.79,43399.0509,43399.0509,daily,COMP
20485,2021-04-07,482.03,495.3,434.66,442.13,482.03,495.3,434.66,442.13,60402.0597,60402.0597,daily,COMP
20486,2021-04-06,512.97,526.9,475.74,482.05,512.97,526.9,475.74,482.05,39910.22543,39910.22543,daily,COMP
20487,2021-04-05,548.44,556.0,501.94,512.94,548.44,556.0,501.94,512.94,53129.90631,53129.90631,daily,COMP
20488,2021-04-04,479.11,562.85,469.23,548.13,479.11,562.85,469.23,548.13,90330.64487,90330.64487,daily,COMP
20489,2021-04-03,486.04,500.5,465.0,479.48,486.04,500.5,465.0,479.48,42349.03366,42349.03366,daily,COMP
20490,2021-04-02,449.99,492.31,445.81,486.08,449.99,492.31,445.81,486.08,35667.89021,35667.89021,daily,COMP
20491,2021-04-01,399.44,464.04,399.44,449.75,399.44,464.04,399.44,449.75,89859.19173,89859.19173,daily,COMP
20492,2021-03-31,402.27,404.94,382.0,399.12,402.27,404.94,382.0,399.12,22579.12427,22579.12427,daily,COMP
20493,2021-03-30,409.92,422.0,398.5,402.37,409.92,422.0,398.5,402.37,30660.98417,30660.98417,daily,COMP
20494,2021-03-29,362.23,410.0,357.54,409.91,362.23,410.0,357.54,409.91,35538.45975,35538.45975,daily,COMP
20495,2021-03-28,363.36,372.61,355.0,362.24,363.36,372.61,355.0,362.24,18652.77749,18652.77749,daily,COMP
20496,2021-03-27,369.21,373.38,350.88,363.23,369.21,373.38,350.88,363.23,27109.87144,27109.87144,daily,COMP
20497,2021-03-26,361.04,378.41,360.51,369.06,361.04,378.41,360.51,369.06,24371.05779,24371.05779,daily,COMP
20498,2021-03-25,345.05,369.23,330.0,361.01,345.05,369.23,330.0,361.01,36870.69776,36870.69776,daily,COMP
20499,2021-03-24,359.27,387.2,333.45,345.35,359.27,387.2,333.45,345.35,31702.84159,31702.84159,daily,COMP
20500,2021-03-23,378.67,394.64,359.27,359.3,378.67,394.64,359.27,359.3,37117.33504,37117.33504,daily,COMP
20501,2021-03-22,403.43,424.24,372.4,378.69,403.43,424.24,372.4,378.69,57108.71019,57108.71019,daily,COMP
20502,2021-03-21,411.83,428.47,400.0,403.3,411.83,428.47,400.0,403.3,35786.26473,35786.26473,daily,COMP
20503,2021-03-20,443.45,447.18,405.57,412.09,443.45,447.18,405.57,412.09,29022.82058,29022.82058,daily,COMP
20504,2021-03-19,429.31,446.22,420.56,443.23,429.31,446.22,420.56,443.23,17058.03367,17058.03367,daily,COMP
20505,2021-03-18,435.99,451.79,429.0,429.26,435.99,451.79,429.0,429.26,17793.55234,17793.55234,daily,COMP
20506,2021-03-17,432.24,440.06,419.09,435.99,432.24,440.06,419.09,435.99,20484.02858,20484.02858,daily,COMP
20507,2021-03-16,431.99,442.57,416.35,431.79,431.99,442.57,416.35,431.79,16901.29073,16901.29073,daily,COMP
