timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-07-29,164782.60012500,168911.00193000,161802.65431500,164288.49937500,23845.25000000,24442.66000000,23414.03000000,23773.75000000,198298.50623000,198298.50623000
2022-07-28,158625.75925500,167232.16506000,156053.80936500,164766.56776500,22954.31000000,24199.72000000,22582.13000000,23842.93000000,236029.07410000,236029.07410000
2022-07-27,146880.39703500,159719.82961500,145414.40356500,158612.90572500,21254.67000000,23112.63000000,21042.53000000,22952.45000000,210971.19796000,210971.19796000
2022-07-26,147268.97445000,147524.11011000,143092.26825000,146880.39703500,21310.90000000,21347.82000000,20706.50000000,21254.67000000,177817.24326000,177817.24326000
2022-07-25,156019.25686500,156633.39300000,146848.12500000,147268.97445000,22577.13000000,22666.00000000,21250.00000000,21310.90000000,180344.76643000,180344.76643000
2022-07-24,155130.91209000,159042.66972000,153808.03507500,156036.87864000,22448.58000000,23014.64000000,22257.15000000,22579.68000000,115189.67277000,115189.67277000
2022-07-23,156763.51771500,158946.82108500,151578.84598500,155148.11923500,22684.83000000,23000.77000000,21934.57000000,22451.07000000,122137.77375000,122137.77375000
2022-07-22,159993.20899500,164169.22414500,155486.25000000,156763.51771500,23152.19000000,23756.49000000,22500.00000000,22684.83000000,171598.43966000,171598.43966000
2022-07-21,160484.61465000,162001.26208500,154390.65933000,159993.20899500,23223.30000000,23442.77000000,22341.46000000,23152.19000000,184817.68191000,184817.68191000
2022-07-20,161695.19604000,167764.41177000,158293.22599500,160484.61465000,23398.48000000,24276.74000000,22906.19000000,23223.30000000,238762.17094000,238762.17094000
2022-07-19,155020.34409000,164469.90000000,149125.41117000,161682.34251000,22432.58000000,23800.00000000,21579.54000000,23396.62000000,263770.76574000,263770.76574000
2022-07-18,143735.49759000,157404.81211500,143478.91072500,155020.34409000,20799.58000000,22777.63000000,20762.45000000,22432.58000000,239942.73132000,239942.73132000
2022-07-17,146472.19380000,149851.01367000,143392.94410500,143725.68468000,21195.60000000,21684.54000000,20750.01000000,20798.16000000,118229.45250000,118229.45250000
2022-07-16,143945.99142000,149190.36987000,141517.43440500,146472.19380000,20830.04000000,21588.94000000,20478.61000000,21195.60000000,121011.67393000,121011.67393000
2022-07-15,142279.17882000,146502.60000000,140851.81504500,143945.99142000,20588.84000000,21200.00000000,20382.29000000,20830.04000000,143343.30490000,143343.30490000
2022-07-14,139833.06913500,144429.45000000,135556.85173500,142279.17882000,20234.87000000,20900.00000000,19616.07000000,20588.84000000,174809.21696000,174809.21696000
2022-07-13,133588.81044000,140743.45840500,130684.05087000,139833.06913500,19331.28000000,20366.61000000,18910.94000000,20234.87000000,209250.24888000,209250.24888000
2022-07-12,137958.52690500,138620.62191000,132958.02000000,133571.32687500,19963.61000000,20059.42000000,19240.00000000,19328.75000000,139506.45862000,139506.45862000
2022-07-11,144160.70065500,144211.63104000,137347.77691500,137958.52690500,20861.11000000,20868.48000000,19875.23000000,19963.61000000,137535.40724000,137535.40724000
2022-07-10,149212.55257500,149319.66532500,142736.37750000,144170.09893500,21592.15000000,21607.65000000,20655.00000000,20862.47000000,192188.21556000,192188.21556000
2022-07-09,149230.51987500,151892.79000000,147346.51026000,149210.34121500,21594.75000000,21980.00000000,21322.12000000,21591.83000000,178417.84468000,178417.84468000
2022-07-08,149439.49339500,155675.39038500,146428.38123000,149230.51987500,21624.99000000,22527.37000000,21189.26000000,21594.75000000,403081.57349000,403081.57349000
2022-07-07,142111.04635500,150912.19005000,139949.23464000,149439.42429000,20564.51000000,21838.10000000,20251.68000000,21624.98000000,85014.58261000,85014.58261000
2022-07-06,139425.14232000,142876.10781000,136560.11812500,142111.04635500,20175.84000000,20675.22000000,19761.25000000,20564.51000000,82439.58080000,82439.58080000
2022-07-05,139845.78445500,143392.87500000,133403.05620000,139425.07321500,20236.71000000,20750.00000000,19304.40000000,20175.83000000,96041.13756000,96041.13756000
2022-07-04,133482.04321500,140656.38610500,131681.71975500,139845.78445500,19315.83000000,20354.01000000,19055.31000000,20236.71000000,74814.04601000,74814.04601000
2022-07-03,133046.61261000,135774.94711500,129786.10050000,133482.04321500,19252.82000000,19647.63000000,18781.00000000,19315.83000000,51087.46631000,51087.46631000
2022-07-02,133233.05790000,134529.39859500,131140.62760500,133046.54350500,19279.80000000,19467.39000000,18977.01000000,19252.81000000,46180.30210000,46180.30210000
2022-07-01,137810.64220500,144556.25767500,131126.73750000,133233.05790000,19942.21000000,20918.35000000,18975.00000000,19279.80000000,111844.59494000,111844.59494000
2022-06-30,139059.99150000,139447.53234000,128714.97300000,137810.64220500,20123.00000000,20179.08000000,18626.00000000,19942.21000000,93846.64806000,93846.64806000
2022-06-29,140153.78544000,141197.47825500,137207.42466000,139060.06060500,20281.28000000,20432.31000000,19854.92000000,20123.01000000,77309.04379000,77309.04379000
2022-06-28,143341.52998500,146586.21705000,139605.99010500,140153.85454500,20742.57000000,21212.10000000,20202.01000000,20281.29000000,63801.08320000,63801.08320000
2022-06-27,145383.65184000,148851.13342500,141734.35500000,143341.46088000,21038.08000000,21539.85000000,20510.00000000,20742.56000000,64475.00130000,64475.00130000
2022-06-26,148514.79939000,151257.02400000,144876.76666500,145383.58273500,21491.18000000,21888.00000000,20964.73000000,21038.07000000,53278.10464000,53278.10464000
2022-06-25,146762.98764000,149367.00225000,144475.19751000,148514.86849500,21237.68000000,21614.50000000,20906.62000000,21491.19000000,51431.67794000,51431.67794000
2022-06-24,145881.48426000,148979.39230500,143301.10356000,146763.05674500,21110.12000000,21558.41000000,20736.72000000,21237.69000000,77430.36622000,77430.36622000
2022-06-23,138127.07400000,146730.64650000,137450.32873500,145881.55336500,19988.00000000,21233.00000000,19890.07000000,21110.13000000,83127.08716000,83127.08716000
2022-06-22,143209.81585500,144429.45000000,136624.10935500,138127.00489500,20723.51000000,20900.00000000,19770.51000000,19987.99000000,92133.97938000,92133.97938000
2022-06-21,142175.93595000,150116.79150000,140617.61820000,143209.88496000,20573.90000000,21723.00000000,20348.40000000,20723.52000000,104371.07490000,104371.07490000
2022-06-20,142176.62700000,145742.44500000,135701.69581500,142175.86684500,20574.00000000,21090.00000000,19637.03000000,20573.89000000,109028.94154000,109028.94154000
2022-06-19,131097.64429500,143848.62247500,124115.41330500,142176.62700000,18970.79000000,20815.95000000,17960.41000000,20574.00000000,128320.87595000,128320.87595000
2022-06-18,141449.71150500,143683.53063000,121776.83100000,131097.64429500,20468.81000000,20792.06000000,17622.00000000,18970.79000000,196441.65552400,196441.65552400
2022-06-17,140978.34630000,147645.80401500,139914.54393000,141449.71150500,20400.60000000,21365.43000000,20246.66000000,20468.81000000,86694.33663000,86694.33663000
2022-06-16,156064.79706000,158911.99216500,139813.23600000,140983.25275500,22583.72000000,22995.73000000,20232.00000000,20401.31000000,99673.59429000,99673.59429000
2022-06-15,152973.73041000,157559.40000000,138981.35001000,156064.79706000,22136.42000000,22800.00000000,20111.62000000,22583.72000000,200774.49346700,200774.49346700
2022-06-14,155384.45833500,161449.18224000,144056.28300000,152973.66130500,22485.27000000,23362.88000000,20846.00000000,22136.41000000,187201.64671000,187201.64671000
2022-06-13,183643.28956500,185863.70232000,151518.03358500,155399.24680500,26574.53000000,26895.84000000,21925.77000000,22487.41000000,254611.03496600,254611.03496600
2022-06-12,196428.95845500,197259.94608000,183542.88000000,183643.28956500,28424.71000000,28544.96000000,26560.00000000,26574.53000000,92474.59880900,92474.59880900
2022-06-11,201039.36763500,203447.95330500,194184.98089500,196428.88935000,29091.87000000,29440.41000000,28099.99000000,28424.70000000,65901.39895000,65901.39895000
2022-06-10,208074.67126500,209960.33940000,199367.92500000,201039.43674000,30109.93000000,30382.80000000,28850.00000000,29091.88000000,76204.24980000,76204.24980000
2022-06-09,208730.06308500,212152.35000000,206928.70305000,208074.67126500,30204.77000000,30700.00000000,29944.10000000,30109.93000000,46291.18650000,46291.18650000
2022-06-08,215091.52386000,216486.75381000,206236.13274000,208730.06308500,31125.32000000,31327.22000000,29843.88000000,30204.77000000,68542.61276000,68542.61276000
2022-06-07,216803.80755000,218299.93080000,201917.62308000,215091.59296500,31373.10000000,31589.60000000,29218.96000000,31125.33000000,110674.51658000,110674.51658000
2022-06-06,206756.63160000,219516.45522000,206556.43441500,216803.80755000,29919.20000000,31765.64000000,29890.23000000,31373.10000000,68836.92456000,68836.92456000
2022-06-05,206375.37931500,208621.08450000,204076.87791000,206756.70070500,29864.03000000,30189.00000000,29531.42000000,29919.21000000,23139.92810000,23139.92810000
2022-06-04,205243.30120500,207238.15524000,203756.09250000,206375.44842000,29700.21000000,29988.88000000,29485.00000000,29864.04000000,25617.90113000,25617.90113000
2022-06-03,210442.89961500,212145.43950000,202355.74878000,205243.30120500,30452.63000000,30699.00000000,29282.36000000,29700.21000000,54067.44727000,54067.44727000
2022-06-02,205973.25732000,212076.33450000,204513.13777500,210442.83051000,29805.84000000,30689.00000000,29594.55000000,30452.62000000,56961.42928000,56961.42928000
2022-06-01,219761.15602500,221018.31418500,202484.56050000,205973.18821500,31801.05000000,31982.97000000,29301.00000000,29805.83000000,103395.63382000,103395.63382000
2022-05-31,219299.39641500,223893.28950000,215607.66910500,219761.08692000,31734.23000000,32399.00000000,31200.01000000,31801.04000000,62433.11632000,62433.11632000
2022-05-30,203639.30505000,222670.13100000,202475.02401000,219299.32731000,29468.10000000,32222.00000000,29299.62000000,31734.22000000,96785.94760000,96785.94760000
2022-05-29,200621.00596500,204466.35369000,199293.36070500,203639.30505000,29031.33000000,29587.78000000,28839.21000000,29468.10000000,27567.34764000,27567.34764000
2022-05-28,197846.30200500,202242.69300000,196603.72500000,200621.00596500,28629.81000000,29266.00000000,28450.00000000,29031.33000000,34479.35127000,34479.35127000
2022-05-27,201795.92917500,203152.52943000,195448.98045000,197846.23290000,29201.35000000,29397.66000000,28282.90000000,28629.80000000,90998.52010000,90998.52010000
2022-05-26,204150.95847000,206531.62572000,193629.16938000,201795.92917500,29542.14000000,29886.64000000,28019.56000000,29201.35000000,94581.65463000,94581.65463000
2022-05-25,204927.97509000,208861.15527000,202437.63820500,204151.02757500,29654.58000000,30223.74000000,29294.21000000,29542.15000000,59537.38659000,59537.38659000
2022-05-24,201158.71197000,206249.81553000,198117.12450000,204927.97509000,29109.14000000,29845.86000000,28669.00000000,29654.58000000,59442.96036000,59442.96036000
2022-05-23,209346.20326500,211948.55935500,199480.91167500,201158.78107500,30293.93000000,30670.51000000,28866.35000000,29109.15000000,63901.49932000,63901.49932000
2022-05-22,203480.15623500,210687.25489500,202167.43765500,209346.27237000,29445.07000000,30487.99000000,29255.11000000,30293.94000000,36158.98748000,36158.98748000
2022-05-21,201793.57960500,204939.03189000,200040.17844000,203480.08713000,29201.01000000,29656.18000000,28947.28000000,29445.06000000,20987.13124000,20987.13124000
2022-05-20,209520.96981000,212686.73896500,198538.66500000,201793.57960500,30319.22000000,30777.33000000,28730.00000000,29201.01000000,60517.25325000,60517.25325000
2022-05-19,198437.28796500,211082.46639000,198271.78149000,209521.03891500,28715.33000000,30545.18000000,28691.38000000,30319.23000000,67877.36415000,67877.36415000
2022-05-18,210389.68876500,212221.38589500,198016.71493500,198437.21886000,30444.93000000,30709.99000000,28654.47000000,28715.32000000,59749.15799000,59749.15799000
2022-05-17,206444.34610500,212763.03088500,203516.85099000,210389.68876500,29874.01000000,30788.37000000,29450.38000000,30444.93000000,56724.13307000,56724.13307000
2022-05-16,216498.29434500,216498.36345000,201005.98992000,206444.34610500,31328.89000000,31328.90000000,29087.04000000,29874.01000000,73082.19658000,73082.19658000
2022-05-15,207914.41677000,217404.33000000,203721.54000000,216498.29434500,30086.74000000,31460.00000000,29480.00000000,31328.89000000,46275.66912000,46275.66912000
2022-05-14,202388.15902500,209687.16733500,197847.61500000,207914.41677000,29287.05000000,30343.27000000,28630.00000000,30086.74000000,51095.87863000,51095.87863000
2022-05-13,200610.01827000,214801.62838500,198688.41553500,202388.15902500,29029.74000000,31083.37000000,28751.67000000,29287.05000000,97872.36957000,97872.36957000
2022-05-12,201122.77737000,208994.25150000,184510.35000000,200610.08737500,29103.94000000,30243.00000000,26700.00000000,29029.75000000,204507.26313800,204507.26313800
2022-05-11,214343.73865500,222259.57819500,192008.24250000,201122.77737000,31017.11000000,32162.59000000,27785.00000000,29103.94000000,207063.73927800,207063.73927800
2022-05-10,207827.96641500,225689.95039500,205451.92920000,214343.66955000,30074.23000000,32658.99000000,29730.40000000,31017.10000000,165532.00311000,165532.00311000
2022-05-09,235222.29409500,236637.28807500,207545.32696500,207842.34025500,34038.39000000,34243.15000000,30033.33000000,30076.31000000,191876.92642800,191876.92642800
